Index	JointName	Min	Max	Sign	Offset
0	Torso0	-INF	INF	1	0
1	Torso1	-INF	INF	1	0
2	Torso2	-INF	INF	1	0
3	Torso3	-INF	INF	1	0
4	Torso4	-INF	INF	1	0
5	Torso5	-INF	INF	1	0
6	HNR	-0.5236	0.523599	1	0
7	HNP	-0.5236	0.523599	1	0
8	LSP	-3.14158	3.14158	1	0
9	LSR	-1.5708	1.5708	1	-0.2617993878
10	LSY	-3.14158	3.14158	1	0
11	LEP	-2.49582	0.069813	1	0.1745329252
12	LWY	-3.14158	3.14158	1	0
13	LWP	-1.64061	1.01229	1	0
14	leftThumbKnuckle1	-2	0	-1	0
15	leftThumbKnuckle2	0	1	1	0
16	leftThumbKnuckle3	0	1	1	0
17	leftPinkyKnuckle1	-2	0	-1	0
18	leftPinkyKnuckle2	0	1	1	0
19	leftPinkyKnuckle3	0	1	1	0
20	leftRingKnuckle1	-2	0	-1	0
21	leftRingKnuckle2	0	1	1	0
22	leftRingKnuckle3	0	1	1	0
23	leftMiddleKnuckle1	-2	0	-1	0
24	leftMiddleKnuckle2	0	1	1	0
25	leftMiddleKnuckle3	0	1	1	0
26	leftIndexKnuckle1	-2	0	-1	0
27	leftIndexKnuckle2	0	1	1	0
28	leftIndexKnuckle3	0	1	1	0
29	RSP	-3.14158	3.14158	1	0
30	RSR	-1.5708	1.5708	1	0.2617993878
31	RSY	-3.14158	3.14158	1	0
32	REP	-2.49582	0.069813	1	0.1745329252
33	RWY	-3.14158	3.14158	1	0
34	RWP	-1.64061	1.01229	1	0
35	rightThumbKnuckle1	-2	0	-1	0
36	rightThumbKnuckle2	0	1	1	0
37	rightThumbKnuckle3	0	1	1	0
38	rightPinkyKnuckle1	-2	0	-1	0
39	rightPinkyKnuckle2	0	1	1	0
40	rightPinkyKnuckle3	0	1	1	0
41	rightRingKnuckle1	-2	0	-1	0
42	rightRingKnuckle2	0	1	1	0
43	rightRingKnuckle3	0	1	1	0
44	rightMiddleKnuckle1	-2	0	-1	0
45	rightMiddleKnuckle2	0	1	1	0
46	rightMiddleKnuckle3	0	1	1	0
47	rightIndexKnuckle1	-2	0	-1	0
48	rightIndexKnuckle2	0	1	1	0
49	rightIndexKnuckle3	0	1	1	0
50	HPY	-3.14158	3.14158	-1	0
51	LHY	-1.5708	1.5708	1	0
52	LHR	-0.48869	0.488692	1	0
53	LHP	-1.48353	1.6057	1	0
54	LKP	-0.06981	2.60054	1	0
55	LAP	-1.29154	1.69297	1	0
56	LAR	-0.19199	0.191986	1	0
57	RHY	-1.5708	1.5708	1	0
58	RHR	-0.48869	0.488692	1	0
59	RHP	-1.48353	1.6057	1	0
60	RKP	-0.06981	2.60054	1	0
61	RAP	-1.29154	1.69297	1	0
62	RAR	-0.19199	0.191986	1	0
