HPY LHY LHR LHP LKP LAR LAP RHY RHR RHP RKP RAR RAP LSP LSR LSY LEP LWY LWP RSP RSR RSY REP RWY RWP 
+ + + + + + - + + + + + - + + + + + + + + + + + +
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000045 0.000000 0.000000 -0.000096 0.000000 0.000050 0.000045 0.000000 0.000000 -0.000096 0.000000 0.000050 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000363 0.000000 0.000000 -0.000764 0.000000 0.000402 0.000363 0.000000 0.000000 -0.000764 0.000000 0.000402 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001222 0.000000 0.000000 -0.002578 0.000000 0.001355 0.001222 0.000000 0.000000 -0.002578 0.000000 0.001355 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.002893 0.000000 0.000000 -0.006101 0.000000 0.003208 0.002893 0.000000 0.000000 -0.006101 0.000000 0.003208 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.005641 0.000000 0.000000 -0.011895 0.000000 0.006255 0.005641 0.000000 0.000000 -0.011895 0.000000 0.006255 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009726 0.000000 0.000000 -0.020511 0.000000 0.010784 0.009726 0.000000 0.000000 -0.020511 0.000000 0.010784 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.015405 0.000000 0.000000 -0.032487 0.000000 0.017081 0.015405 0.000000 0.000000 -0.032487 0.000000 0.017081 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.022928 0.000000 0.000000 -0.048350 0.000000 0.025422 0.022928 0.000000 0.000000 -0.048350 0.000000 0.025422 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.032536 0.000000 0.000000 -0.068611 0.000000 0.036075 0.032536 0.000000 0.000000 -0.068611 0.000000 0.036075 
